	language	image_url	caption_reference_description	page_title	section_title
2813	es	https://upload.wikimedia.org/wikipedia/commons/d/d0/Beethoven18045JosephM%C3%A4hler.jpg	Retrato de Beethoven (hacia 1804), en la época de la Sonata Appassionata y de Fidelio. Decidido a «agarrar el destino por el cuello», compuso en el periodo de 1802 a 1812 una serie de obras brillantes y enérgicas características de su estilo «heroico».	Ludwig van Beethoven	Éxito y sufrimiento
2814	es	https://upload.wikimedia.org/wikipedia/commons/7/71/T-55A_at_Panzermuseum_Munster.jpg	T-55A en el Panzermuseum de Munster, Alemania.	T-54/T-55	T-55 básico
2815	es	https://upload.wikimedia.org/wikipedia/commons/d/d0/Encuestas_presidencial_por_candidato_M%C3%A9xico_2018.svg	Evolución de los tres principales candidatos en encuestas a partir de enero de 2018.	Elecciones federales de México de 2018	Campañas
2816	es	https://upload.wikimedia.org/wikipedia/commons/a/ac/Hupehsuchus.jpg	Recreación en vida de Hupehsuchus nanchangensis.	Hupehsuchia	Descripción
2817	es	https://upload.wikimedia.org/wikipedia/commons/1/1d/Young_boy_and_girl_harvest_farm_crops_in_Egypt.jpg	Campesinos egipcios	Egipto	Agricultura
2818	es	https://upload.wikimedia.org/wikipedia/commons/a/ad/Volga_tolga.jpg	Muchos monasterios e iglesias se hallan a lo largo de la ribera del Volga.	Yaroslavl	Regiones
2819	es	https://upload.wikimedia.org/wikipedia/commons/b/b2/Pablo_Iglesias1.jpg	Pablo Iglesias, fundador de la Agrupación Socialista Madrileña.	Partido Socialista Obrero Español de la Comunidad de Madrid	Agrupación Socialista Madrileña (1879-1977)
2820	es	https://upload.wikimedia.org/wikipedia/commons/3/3c/St-Damase_maison.jpg	Casa en Saint-Damase.	Saint-Damase	Geografía
2821	es	https://upload.wikimedia.org/wikipedia/commons/6/6e/Ur-painting.jpg	Grabado anónimo encontrado en Augsburgo, a principios del siglo XIX. Representa a un uro, subespecie salvaje ya extinta.	Toro de lidia	Interés zoológico
2822	es	http://upload.wikimedia.org/wikipedia/commons/3/39/Kashima_Stadium_3.JPG	Interior del Estadio de Kashima	Kashima Antlers	Estadio
2823	es	https://upload.wikimedia.org/wikipedia/commons/8/81/Josh_Homme--2003_August.jpg	Josh Homme.	Josh Homme	Queens of the Stone Age
2824	es	https://upload.wikimedia.org/wikipedia/commons/e/e7/JamesAviation.jpg	Una de las primeras conversiones de fertilización del Tiger Moth en el Museo de Nueva Zelanda Te Papa Tongarewa en 2009.	De Havilland DH.82 Tiger Moth	Posguerra
2825	es	http://upload.wikimedia.org/wikipedia/commons/5/57/Hirschhorn-burg6-torhaus-web.jpg	Torre del castillo de Hirschhorn.	Hirschhorn (Neckar)	Cultura y sitios de interés
2826	es	https://upload.wikimedia.org/wikipedia/commons/9/9c/Bundesarchiv_Bild_183-H12981%2C_M%C3%BCnchener_Abkommen%2C_Abreise_Mussolini.jpg	Benito Mussolini estrechando lazos de amistad con Adolf Hitler al formar una alianza para el conflicto.	Benito Mussolini	De la «no beligerancia» a la «guerra paralela»
2827	es	http://upload.wikimedia.org/wikipedia/commons/a/a5/Higuerote_%28Coussapoa_pittieri%2C_parasitic_tree%29.jpg	Coussapoa pittieri en el bosque cercano a Naiguatá, Venezuela. Véanse las raíces nervudas, típicas del invasor, diferentes de las del árbol original.	Matapalo	Ecología
2828	es	https://upload.wikimedia.org/wikipedia/commons/0/02/Estaci%C3%B3n_Las_Heras.jpg	Estación de ferrocarril de Las Heras.	General Las Heras	Véase también
2829	es	https://upload.wikimedia.org/wikipedia/commons/c/c8/Sonia_Berjman_02.jpg	Sonia Berjman, protectora de espacios verdes de la ciudad de Buenos Aires	Sonia Berjman	Biografía
2830	es	https://upload.wikimedia.org/wikipedia/commons/d/d4/Tomb_of_Ihara_Saikaku.jpg	Tumba de Ihara Saikaku en Osaka	Ihara Saikaku	Obra
2831	es	https://upload.wikimedia.org/wikipedia/commons/e/e0/Tomsk-Oblast%27-Administration.jpg	Sede de la Administración central del óblast de Tomsk	Tomsk	Historia
2832	es	https://upload.wikimedia.org/wikipedia/commons/3/34/Chinch%C3%B3n_dolina_c1991.jpg	Dolina de colapso en yesos karstificados del sur de la provincia de Madrid.	Dolina (geología)	Tipos
2833	es	https://upload.wikimedia.org/wikipedia/commons/e/e3/Phyllomedusa_azurea.jpg	Pithecopus azureus.	Pithecopus	Taxonomía
2834	es	https://upload.wikimedia.org/wikipedia/commons/c/c8/Interior_Casa_Mil%C3%A0.jpg	Interior de la Casa Milà.	Casa Milà	Interior
2835	es	https://upload.wikimedia.org/wikipedia/commons/c/c8/Iquitos-Plaza_de_Armas-Catedral.JPG	Áreas de la Plaza de Armas con la Catedral de Iquitos en segundo plano.	Iquitos	Patrimonio histórico-artístico
2836	es	https://upload.wikimedia.org/wikipedia/commons/3/3c/Adidas_Telstar_Mexico_1970_Official_ball.jpg	Adidas Telstar, el balón oficial con el que jugó Israel en su única participación en un Mundial de fútbol.	Selección de fútbol de Israel	Copa Mundial de Fútbol
2837	es	https://upload.wikimedia.org/wikipedia/commons/2/2e/Kitaro_5.jpg	Kitaro	New age (música)	Influencias y temáticas
2838	es	https://upload.wikimedia.org/wikipedia/commons/a/a2/Moisant-John_03.jpg	Moisant international Aviators, cartel.	John Moisant	Empresa: Moisant International Aviators
2839	es	https://upload.wikimedia.org/wikipedia/commons/5/54/Paris_Metro_Louis_Blanc_dsc00848.jpg	Andén de la estación de Buttes Chaumont en dirección Louis Blanc	Línea 7 bis del Metro de París	Particularidades
2840	es	https://upload.wikimedia.org/wikipedia/commons/a/a0/Catedral_Emperatriz_de_Santa_Elena.jpg	Catedral Emperatriz de Santa Elena.	Provincia de Santa Elena	Población y superficie
2841	es	https://upload.wikimedia.org/wikipedia/commons/e/e5/Czechoslovakia-es.svg	Checoslovaquia entre 1969 y 1990.	Checoslovaquia	División político-administrativa
2842	es	https://upload.wikimedia.org/wikipedia/commons/1/12/Attica_06-13_Athens_28_Academy_of_Athens.jpg	La moderna Academia de Atenas, con Apolo y Atenea en sus columnas, y Sócrates y Platón sentados en frente.	Historia de Atenas	Artistas y filósofos.
2843	es	https://upload.wikimedia.org/wikipedia/commons/7/7d/Blasco_Ib%C3%A1%C3%B1ez.jpg	Busto de Blasco Ibáñez en la avenida de Valencia que lleva su nombre	Vicente Blasco Ibáñez	Memoria histórica
2844	es	https://upload.wikimedia.org/wikipedia/commons/e/e1/Conservatorio_Superior_de_M%C3%BAsica_de_Castilla-La_Mancha._Conservatorio_Profesional_de_M%C3%BAsica_Tom%C3%A1s_de_Torrej%C3%B3n_y_Velasco_de_Albacete._Calle_Zapateros._Albacete.jpg	Conservatorio Superior de Música de Castilla-La Mancha (Albacete).	Castilla-La Mancha	Educación universitaria
2845	es	https://upload.wikimedia.org/wikipedia/commons/a/a3/Bundesarchiv_Bild_183-B16174%2C_Charkow%2C_Sowjetische_Sandsackstellung.jpg	Los búnkeres soviéticos utilizados en la defensa de Járkov	Primera batalla de Járkov	Avance a Járkov
2846	es	https://upload.wikimedia.org/wikipedia/commons/2/20/Hiye_Maru_1930s_postcard.jpg	Postal de 1930 del Hiye Maru	Hei Maru	Historial operativo
2847	es	https://upload.wikimedia.org/wikipedia/commons/a/a9/Fachada_catedral_de_Lugo.jpg	Fachada principal de la catedral de Lugo.	Juan Enríquez	Obispo de Lugo (1409-1418)
2848	es	http://upload.wikimedia.org/wikipedia/commons/6/60/Grijalva_y_Tabscoob.jpg	Entrevista entre Juan de Grijalva y el cacique maya Tabscoob, ocurrida en Potonchán el 8 de junio de 1518.	Conquista de México	Segunda expedición
2849	es	https://upload.wikimedia.org/wikipedia/commons/d/dd/Brontornis_burmeisteri_tarsometatarso_sinistro.JPG	Tarsometatarso.	Brontornis	Características
2850	es	https://upload.wikimedia.org/wikipedia/commons/b/bd/%D0%98%D1%81%D1%82%D1%80%D0%B5%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_Heinkel_He-51B.jpg	He 51B de la Real Fuerza Aérea Búlgara.	Heinkel He 51	Operadores
2851	es	https://upload.wikimedia.org/wikipedia/commons/8/8b/XMenOriginsWolverineCastPremiereApr09b.jpg	Jackman junto con el actor Ryan Reynolds durante el estreno de X-Men Origins: Wolverine, en abril de 2009, en Arizona.	Hugh Jackman	Cine
2852	es	https://upload.wikimedia.org/wikipedia/commons/6/6a/RER_%C3%A0_la_gare_de_Noisiel_%2877%29.jpg	RER à la gare de Noisiel	Estación de Noisiel	Correspondencias
2853	es	https://upload.wikimedia.org/wikipedia/commons/c/c3/Wikipedia_biblioteca_municipal_masaka.jpg	Wikipedia biblioteca municipal Masaka.	Masaka	Museos y bibliotecas
2854	es	https://upload.wikimedia.org/wikipedia/commons/4/40/Adri%C3%A1n_Ghio2.jpg	Fotografía de Adrián Ghio junto a su hija Florencia (25 meses) en 1975.	Adrián Ghio	Carrera
2855	es	https://upload.wikimedia.org/wikipedia/commons/8/82/Laminaria.jpg	Frondas de Laminaria digitata lavada en la costa — cada fronda mide más de 2 m de largo.	Laminaria	Usos
2856	es	https://upload.wikimedia.org/wikipedia/commons/b/b5/Rwandan_children_at_Volcans_National_Park.jpg	Niños ruandeses en el medio rural.	Ruanda	Educación
2857	es	https://upload.wikimedia.org/wikipedia/commons/9/9a/ITFoK_gate.JPG	Entrada decoarada de la academia durante el Festival Internacional de Teatro de Kerala	Academia Sangeetha Nataka	Notas
2858	es	https://upload.wikimedia.org/wikipedia/commons/7/75/Sum41_2013.png	"Sum 41 en plena gira ""10th Aniversary Of Does This Look Infected?"""	Sum 41	2012-2018: Salida de Jocz, Primera vez en Sudamerica  y 13 Voices
2859	es	https://upload.wikimedia.org/wikipedia/commons/7/7c/Lynn_Greer2.jpg	Copa de baloncesto italiana	Deporte en Europa	Baloncesto
2860	es	https://upload.wikimedia.org/wikipedia/commons/4/47/Europe_belief_in_god.svg	Porcentaje de población en Europa que contestó en 2005 que «creían en la existencia de un dios».	Demografía del ateísmo	Europa
2861	es	https://upload.wikimedia.org/wikipedia/commons/8/82/MHS_ojcowie_ks_Bazyli_Wlk_Jan_Chryzostom_Grzeg_Wlk_XVII_Lipie_p.jpg	Los Tres Santos Jerarcas: san Basilio de Cesarea, san Juan Crisóstomo y san Gregorio el Teólogo, icono de Lipie, Museo Histórico en Sanok, Polonia.	Gregorio Nacianceno	Segundo Concilio Ecuménico y retiro a Arianzo
2862	es	https://upload.wikimedia.org/wikipedia/commons/4/44/Ruadh_Aodh_U%C3%AE_Domhaill.jpg	Red Hugh O'Donnel.	Guerra de los Nueve Años (Irlanda)	La batalla de Kinsale y el fin de la rebelión
2863	es	https://upload.wikimedia.org/wikipedia/commons/a/a6/Karte-DFB-Regionalverb%C3%A4nde.png	DFB = cinco federaciones regionales, 21 federaciones estatales	Federación Alemana de Fútbol	Organización
2864	es	https://upload.wikimedia.org/wikipedia/commons/2/2a/Brokopondo_Lake_Suriname.jpg	Copas de algunos árboles sobresaliendo en la superficie.	Embalse de Brokopondo	Historia
2865	es	https://upload.wikimedia.org/wikipedia/commons/7/77/Skalnata_chata.jpg	Cabañas en la montaña como esta a medio camino de Lomnický štít son una visión común en el Alto Tatra.	Alto Tatra	Picos más altos
2866	es	https://upload.wikimedia.org/wikipedia/commons/c/c4/Granderos_%28cropped%29.png	Granadero en la Casa Rosada	Regimiento de Granaderos a Caballo	Código de Honor
2867	es	https://upload.wikimedia.org/wikipedia/commons/b/b7/Acta_physica_polonica.jpg	Ejemplares de la revista Acta Physica Polonica	Actas (reunión académica)	Actas de una reunión académica
2868	es	https://upload.wikimedia.org/wikipedia/commons/6/68/Philipp_Veit_007.jpg	El Cristianismo introduce las bellas artes en Alemania	Philipp Veit	Obras y estilo
2869	es	https://upload.wikimedia.org/wikipedia/commons/4/41/Plaza_del_Zocodover%2C_Toledo_002.JPG	Arco de la Sangre	Plaza de Zocodover	Reformas
2870	es	https://upload.wikimedia.org/wikipedia/commons/3/3a/P3B6P55COAN.jpg	P-3B Orion en la BAPI	Base Aeronaval Almirante Zar	Uso militar durante gobiernos democráticos
2871	es	https://upload.wikimedia.org/wikipedia/commons/b/b7/Cl-cities.png	Chile. Conurbaciones y ciudades sobre 10.000 hab., cálculo 2005.	Demografía de Chile	Condiciones sociales de la población
2872	es	https://upload.wikimedia.org/wikipedia/commons/6/62/Luke_Harper_in_April_2014.jpg	Luke Harper en abril de 2014.	Brodie Lee	2013–2014
2873	es	https://upload.wikimedia.org/wikipedia/commons/5/5b/Bernd_Eichinger_%28cropped%29.jpg	Al productor Bernd Eichinger le fueron negados los derechos para realizar una película cuando primero trató de obtenerlos en el año 1985.	El perfume (película)	Producción
2874	es	https://upload.wikimedia.org/wikipedia/commons/c/c9/Racing_supercopa_1988.jpg	Racing es el primer equipo campeón de campeones en la Supercopa Sudamericana, conseguida en 1988.	Racing Club	Palmarés
2875	es	https://upload.wikimedia.org/wikipedia/commons/d/dd/Conventual_Franciscan.JPG	Un joven franciscano conventual con el hábito tradicional de la orden.	Orden de Frailes Menores Conventuales	Actividades
2876	es	https://upload.wikimedia.org/wikipedia/commons/6/68/Hotel_Royal_in_Pogradec.jpg	Hotel en Pogradec	Lago de Ocrida	Actividades
2877	es	http://upload.wikimedia.org/wikipedia/commons/7/7c/Gossuin_de_Metz_-_L%27image_du_monde_-_BNF_Fr._574_fo42.jpg	Ilustración de la Tierra esférica en L'Image du monde.	Gautier de Metz	Biografía
2878	es	https://upload.wikimedia.org/wikipedia/commons/c/c7/P-38.jpg	Reproducción a escala del P-38.	Aeromodelismo	Categoría F4 - Maquetas
2879	es	https://upload.wikimedia.org/wikipedia/commons/b/b8/John_Locke.jpg	John Locke	Derechos de los animales	Primeras leyes que protegen animales
2880	es	https://upload.wikimedia.org/wikipedia/commons/4/48/Antoin_Sevruguin_carpet.jpg	Mujeres tejiendo una alfombra en un telar vertical (hacia 1890).	Alfombra persa	El telar y las herramientas
2881	es	https://upload.wikimedia.org/wikipedia/commons/b/b0/Le_livre_d%27or_de_l%27Institut_du_Pr%C3%A9cieux-Sang%3B_histoire_abr%C3%A9g%C3%A9e_de_sa_fondation%2C_de_ses_d%C3%A9voloppements%2C_de_son_cinquantenaire%2C_1861-1911_%281911%29_%2814595761037%29.jpg	Aurélie Caouette (1833-1905), fundadora de la congregación.	Adoratrices de la Preciosísima Sangre	Historia
2882	es	https://upload.wikimedia.org/wikipedia/commons/6/69/Ovejas_de_Somal%C3%ADa_en_Buin_Zoo.jpg	Ovejas de Somalia en Buin Zoo, Chile	Oveja de Somalia	Presencia en parques zoológicos
2883	es	https://upload.wikimedia.org/wikipedia/commons/d/db/P51A.jpg	Ala afilada del P-51A Mustang	Configuración alar	Variación de la cuerda
2884	es	https://upload.wikimedia.org/wikipedia/commons/8/89/Exploradores_de_Espa%C3%B1a_en_El_Pardo_1926.jpg	La tropa de Madrid durante una actividad en El Pardo (1926).	Exploradores de España	Promesa del explorador
2885	es	https://upload.wikimedia.org/wikipedia/commons/5/52/Prendimiento_Salamanca.jpg	Grupo de El Prendimiento, de Damián Villar.	Seráfica Hermandad de Nazarenos del Santísimo Cristo de la Agonía (Salamanca)	Historia
2886	es	https://upload.wikimedia.org/wikipedia/commons/6/6d/Cimitero_dall%27antella%2C_cappella_di_san_silvestro%2C_tomba_di_galileo_chini_e_la_moglie.JPG	La tumba de Galileo Chini y de su esposa en el cementerio monumental del Antella	Galileo Chini	Chini y la Ópera
2887	es	https://upload.wikimedia.org/wikipedia/commons/7/74/Thinktank_Birmingham_-_object_1978S03348%281%29.jpg	Un primitivo refrigerador, con un intercambiador de calor cilíndrico arriba. Ahora en la colección del Thinktank, Museo de Ciencias de Birmingham (Reino Unido).	Refrigerador	Reciclado de refrigeradores
2888	es	https://upload.wikimedia.org/wikipedia/commons/a/a0/Sandro_mazzola_inter_%28cropped%29.jpg	Sandro Mazzola defendió toda su carrera los colores del Inter de Milán con 160 goles y 565 partidos.	Inter de Milán	"""El Grande Inter"" de los años 60'"""
2889	es	https://upload.wikimedia.org/wikipedia/commons/e/ec/Gerokreuz_full_20050903.jpg	Amanecer, la Luz del Mundo.	Antífonas de Adviento	O Oriens
2890	es	https://upload.wikimedia.org/wikipedia/commons/3/34/UNu-Dayan.jpg	U Nu y Moshe Dayan en 1955.	Relaciones exteriores de Israel	Birmania
2891	es	https://upload.wikimedia.org/wikipedia/commons/8/85/TAME_ATR_42-500_Aeropuerto_GYE.jpg	ATR-42-500 de TAME en la pista del aeropuerto de Guayaquil	TAME	Historia
2892	es	https://upload.wikimedia.org/wikipedia/commons/3/32/POL_Warszawa_II_Rajd_Pojazdow_Zabytkowych_%2826%29.JPG	Toma trasera de un FSO Warszawa 201	FSO Warszawa	Exportación
2893	es	https://upload.wikimedia.org/wikipedia/commons/a/a5/Rubens_Alcibiades_MOMA.jpeg	Bosquejo de la interrupción de Alcibíades, según Peter Paul Rubens (post 1600).	El banquete	Contenido
2894	es	https://upload.wikimedia.org/wikipedia/commons/3/34/Separaciongoleta.JPG	La goleta Separación Dominicana en la batalla de Tortuguero, por Adolfo García Obregón	Armada Dominicana	Historia
2895	es	https://upload.wikimedia.org/wikipedia/commons/e/ee/Mercedes-Benz_CLS_350_BlueEFFICIENCY_%28C_218%29_%E2%80%93_Innenansicht%2C_4._Juni_2011%2C_Wuppertal.jpg	Interior del CLS	Mercedes-Benz Clase CLS	Diseño
2896	es	https://upload.wikimedia.org/wikipedia/commons/f/f8/Panorama_de_la_Plaza_de_Armas_%28Iquitos%29.JPG	Panorama de la Plaza de Armas.	Iquitos	Urbanismo
2897	es	https://upload.wikimedia.org/wikipedia/commons/f/f0/Mallorca_platja-de-palma_aerial-photo_2009.jpg	Foto de la bahía de Palma en 2009, donde se puede observar la isleta.	Islote de La Galera	Topónimo
2898	es	http://upload.wikimedia.org/wikipedia/commons/0/05/VW-New-Beetle.jpg	Volkswagen New Beetle 2000. En este año cambian sus espejos exteriores. Aquí con especificaciones para América del Norte.	Volkswagen New Beetle	Presentación del New Beetle
2899	es	https://upload.wikimedia.org/wikipedia/commons/5/5f/Pinochet_-_Silva_Henriquez.jpg	Pinochet en el Te Deum de 1976 en la Catedral de Santiago. De espaldas el cardenal Raúl Silva Henríquez.	Dictadura militar (Chile)	Reforma Previsional y Laboral
2900	es	https://upload.wikimedia.org/wikipedia/commons/e/e3/Formaciontrengsm.jpeg	Formación del Ferrocarril San Martín.	Caseros	Historia
2901	es	https://upload.wikimedia.org/wikipedia/commons/5/52/Renault_Celtaquate_Berline_1935.jpg	Renault Celtaquatre, 1934	Renault	Renault por países
2902	es	https://upload.wikimedia.org/wikipedia/commons/8/8d/Troms%C3%B6%2C_Royal_Air_Force_Bomber_Command%2C_1942-1945_CL2830.jpg	El Tirpitz volcado tras recibir dos impactos de bombas Tallboy.	Acorazado Tirpitz	Operación Catechism
2903	es	http://upload.wikimedia.org/wikipedia/commons/5/50/Aljustrel_-_F%C3%A1tima_children_%282%29.JPG	La casa de los pastorcitos Francisco y Jacinta Marto.	Santuario de Fátima	Casa de Francisco y Jacinta Marto
2904	es	https://upload.wikimedia.org/wikipedia/commons/3/37/Detalle_del_sepulcro_de_Alonso_Fern%C3%A1ndez_de_Madrigal.JPG	Detalle del sepulcro de Alonso Fernández de Madrigal	Sepulcro de Alonso Fernández de Madrigal	Descripción
2905	es	https://upload.wikimedia.org/wikipedia/commons/3/30/%28Francisco_Ayala_%26_Raquel_L%C3%B3pez%29_Por_cuarto_a%C3%B1o_consecutivo_el_Ayuntamiento_reduce_el_tipo_impositivo_a_aplicar_en_el_IBI.jpg	Javier Ayala Ortega, actual alcalde de Fuenlabrada desde 2018.	Fuenlabrada	Alcaldes
2906	es	https://upload.wikimedia.org/wikipedia/commons/0/0b/Craxi22.jpg	Carteles electorales del PSI durante la campaña de las generales de 1983.	Partido Socialista Italiano	Alianza del Pentapartito y presidencia de Craxi
2907	es	https://upload.wikimedia.org/wikipedia/commons/2/2a/Yamaha_YBR_125_ED_%22Libero_125%22_colombiana%2C_modelo_2018.jpg	"Yamaha YBR 125 ED ""Libero 125"" colombiana, modelo 2018"	Yamaha YBR 125	Colombia
2908	es	https://upload.wikimedia.org/wikipedia/commons/7/7e/Andrea_Doria_%28D_553%29.jpg	Destructor Italiano Andrea Doria	Clase Horizon	Historia
2909	es	https://upload.wikimedia.org/wikipedia/commons/d/dc/Charlotte_as_Divas_Champion_WrestleMania_32.jpg	Flair siendo acompañada por su padre en WrestleMania 32.	Charlotte Flair	2015
2910	es	http://upload.wikimedia.org/wikipedia/commons/d/d7/Nestorian-Stele-Budge-plate-X.jpg	La Estela nestoriana, erigida en Chang'an el año 781.	Iglesia del Oriente en China	Dinastía Tang
2911	es	https://upload.wikimedia.org/wikipedia/commons/6/64/Joe_Jackson2.jpg	Joe Jackson en Toronto, 1979	Joe Jackson (músico)	Vida personal
2912	es	http://upload.wikimedia.org/wikipedia/commons/e/e7/Indian_Cavalry_near_Tigris.jpg	Caballería india cerca del Tigris.	Campaña de Mesopotamia	Situación inicial
2913	es	http://upload.wikimedia.org/wikipedia/commons/d/de/Fagus_grandifolia.jpg	Tronco de haya americana.	Fagus grandifolia	Usos
2914	es	https://upload.wikimedia.org/wikipedia/commons/6/6b/Paul_Thomas_Anderson_2007.jpg	El cineasta Paul Thomas Anderson dirigió el video de «Daydreaming».	Daydreaming (canción de Radiohead)	Música y letra
2915	es	https://upload.wikimedia.org/wikipedia/commons/d/d8/Backbeat_chop.png	Notación de baterías de pulso.[2]​	Hard rock	Características
2916	es	https://upload.wikimedia.org/wikipedia/commons/9/9a/Ciudadela_de_Pamplona.JPG	Puerta del Socorro de la ciudadela.	Primer Ensanche de Pamplona	Edificios y monumentos emblemáticos
2917	es	https://upload.wikimedia.org/wikipedia/commons/5/52/Emily_Deschanel.jpg	Emily Deschanel es Temperance Brennan.	Bones	Personajes
2918	es	http://upload.wikimedia.org/wikipedia/commons/b/b8/Babylogger.jpg	Una cría de la tortuga boba en su viaje hacia el mar.	Caretta caretta	Primeros años
2919	es	https://upload.wikimedia.org/wikipedia/commons/2/24/MTN25-0107c3-2015-Cervera_de_Pisuerga.jpg	Fragmento de la hoja 107 del Mapa Topográfico Nacional de España de 2015 en el que se representa Cervera de Pisuerga	Cervera de Pisuerga	Término municipal
2920	es	https://upload.wikimedia.org/wikipedia/commons/2/23/Excavacion1993PlazaVieja%28Tudela%29.jpg	Imagen de las excavaciones realizadas en 1993 en la Plaza Vieja de Tudela, con los cimientos de la Mezquita Mayor incluyendo la base del alminar	Historia de Tudela	Época musulmana (siglos VIII-XII d.C.)
2921	es	https://upload.wikimedia.org/wikipedia/commons/2/29/Convencion_de_Partidos_Lima_1915.jpg	Convención de partidos realizada en Lima en 1915, para elegir una candidatura única para las elecciones presidenciales de ese año. El elegido fue el civilista José Pardo.	Partido Civil (Perú)	La República Aristocrática (1899-1919)
2922	es	https://upload.wikimedia.org/wikipedia/commons/6/60/Torneio_U19_-_Croix_-_Fran%C3%A7a_1974.jpg	Time do Flamengo sub 19 - Torneio Internacional de Croix - França 1974	Torneo Internacional de Croix Sub 19	Enlaces externos
2923	es	https://upload.wikimedia.org/wikipedia/commons/6/6c/%EB%85%BC%EC%82%B0_%EA%B4%80%EC%B4%89%EC%82%AC_%EC%84%9D%EB%93%B1.jpg	Lámpara de piedra en el templo Gwanchoksa (관촉사, c.938) en Nonsan, Chungcheong.	Koryo	Religión
2924	es	https://upload.wikimedia.org/wikipedia/commons/6/64/Bivouac_on_the_Eve_of_the_Battle_of_Austerlitz%2C_1st_December_1805.PNG	Napoleón con sus tropas en vísperas de la batalla. Pintura de Louis-François Lejeune.	Batalla de Austerlitz	La batalla
2925	es	https://upload.wikimedia.org/wikipedia/commons/0/07/LimaCityWalls.JPG	Parque de la Muralla: Restos del tajamar que aún se pueden observar.	Murallas de Lima	Situación actual
2926	es	http://upload.wikimedia.org/wikipedia/commons/2/20/HistoriaBGCP03.jpg	Escuela de la Guardia Civil y Policía en la Avenida de Los Incas (hoy Sebastián Lorente Ibáñez) - Barrios Altos - Cercado de Lima.	Escuela de Oficiales de la Policía Nacional del Perú	La Escuela de la Guardia Civil y Policía
2927	es	https://upload.wikimedia.org/wikipedia/commons/8/86/BGH_-_Bibliothek_-_Au%C3%9Fenansicht_2.JPG	Vista exterior de la Biblioteca (Ala este en forma de U Nordgebäudes)	Tribunal Federal de Justicia de Alemania	Biblioteca
2928	es	https://upload.wikimedia.org/wikipedia/commons/e/e7/Rose_Rolanda_-_Music_Box_Revue_%281921%29.jpg	Rosa Rolanda como bailarina del Music Box Revue	Rosa Rolanda	Reseña biográfica
2929	es	https://upload.wikimedia.org/wikipedia/commons/e/e5/Portalillos_Beas.jpg	Portalillos junto a la Plaza Nueva donde durante algunos siglos se celebraba Mercado antes de la concesión por Juana I.	Mercado del jueves (Beas de Segura)	Contexto histórico
2930	es	https://upload.wikimedia.org/wikipedia/commons/6/6c/Murcia_Puente_de_los_Peligros_04.jpg	Puente Viejo o de los Peligros visto desde aguas arriba.	Puente de los Peligros	El largo proceso constructivo (1718-1742)
2931	es	https://upload.wikimedia.org/wikipedia/commons/b/bb/La_confluence_du_Murray_et_du_Darling_%C3%A0_Wentworth.JPG	La confluencia del Murray y su principal afluente, el río Darling, aquí en primer término, en Wentworth.	Río Murray	Geografía
2932	es	https://upload.wikimedia.org/wikipedia/commons/b/b3/Armas_de_Carasa.jpg	Armas de Carasa y Angustina	Carasa	Etimología
2933	es	http://upload.wikimedia.org/wikipedia/commons/0/08/Michelangelo_bronze_nudes.jpg	Pareja de figuras simulando bronce	Bóveda de la Capilla Sixtina	Figuras desnudas de bronce
2934	es	https://upload.wikimedia.org/wikipedia/commons/c/c2/Rihanna_Fenty_2018.png	Rihanna	1988	Febrero
2935	es	https://upload.wikimedia.org/wikipedia/commons/a/a4/Louis_Brown_Athletic_Center.jpg	De 1977 a 1981 regresaron a Nueva Jersey y el Louis Brown Athletic Center de la Universidad de Rutgers fue su hogar.	Brooklyn Nets	1976 a 1980 - Hacia la NBA y Nueva Jersey
2936	es	https://upload.wikimedia.org/wikipedia/commons/4/4e/Isuzu_NKR55_microbus_in_Jakarta_20110324.jpg	Microbus NKR55, montado en el chasis de un Isuzu Elf.	Isuzu Serie N	Modelos
2937	es	https://upload.wikimedia.org/wikipedia/commons/b/b2/%C3%89glise_St_nizier_plan_02076.JPG	Planta con las calles limítrofes	Iglesia de San Niceto de Troyes	Historia
2938	es	https://upload.wikimedia.org/wikipedia/commons/5/5f/Vigo%2C_fortaleza_de_San_Sebasti%C3%A1n%2C_muralla_-_panoramio.jpg	Castillo de San Sebastián.	Vigo	Siglos XV a XVIII
2939	es	https://upload.wikimedia.org/wikipedia/commons/3/3a/Busto_de_Indigena.JPG	Busto de un indígena, homenaje a la raza originaria de Cerinza, Boyacá.	Cerinza	Historia
2940	es	https://upload.wikimedia.org/wikipedia/commons/4/48/Berliner_Illustrirte_Zeitung_01.jpg	Mola junto al General Franco en una aparición en Burgos el 27 de agosto de 1936, recogida por el periódico alemán Berliner Illustrierte Zeitung. Mola es el que sobresale por la derecha.	Guerra civil española	La Junta de Defensa Nacional
2941	es	https://upload.wikimedia.org/wikipedia/commons/a/ab/Schloss_Nidau_01.jpg	Castillo de Nidau, sede de la prefectura distrital.	Nidau	Lugares de interés
2942	es	https://upload.wikimedia.org/wikipedia/commons/2/26/Plaza_del_9_de_abril_de_1947%2C_T%C3%A1nger%2C_Marruecos%2C_2015-12-11%2C_DD_28.JPG	Plaza del 9 de abril de 1947.	Tánger	Monumentos y lugares de interés
